"","ccode","year","ID","Nu_means","Nu_lower_80","Nu_upper_80","Nu_lower_95","Nu_upper_95","ura_i","metal_i","chemi_i","nitric_i","elect_i","nuke_i","explo_i","Non_HWR","HWR","test","reprocess","enrichment","submarines","explore","pursue","possession","Nu_infrastructure","Infrastructure_lower80","Infrastructure_upper80","Infrastructure_lower95","Infrastructure_upper95"
"744",2,1978,21978,2.341584504,2.051190175,2.71963519,1.977425569,3.044810209,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37510134467249,2.06045723947442,2.75919769689458,1.93107700074706,3.02963008977048
"745",2,1979,21979,2.335036551,2.048166934,2.705359904,1.974704211,3.002399976,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37935741153551,2.05577718789607,2.76432940191136,1.91692496752249,3.0716574766179
"746",2,1980,21980,2.337920282,2.048017956,2.722138526,1.971128631,3.018113564,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37558955293128,2.06603831958699,2.75219202999334,1.92391762399046,3.03544160658065
"747",2,1981,21981,2.33608314,2.043571628,2.704013456,1.969880584,3.006440954,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.3775863017695,2.0502284793475,2.77391112944757,1.9151800982114,3.07083889816883
"748",2,1982,21982,2.336723525,2.042765995,2.712902753,1.972104537,3.016397852,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37107770927627,2.05958914170267,2.7424373735403,1.92807361138903,3.03028089858041
"749",2,1983,21983,2.331879048,2.044563212,2.700934198,1.974657223,2.961686904,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37715781702607,2.06261301884251,2.76092891080764,1.92970014523255,3.07642255041399
"750",2,1984,21984,2.339735299,2.045673781,2.716973945,1.974966504,3.054862783,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37578377455957,2.06516308674747,2.75205980129854,1.9417919861531,3.04317109206371
"751",2,1985,21985,2.3363338,2.046845376,2.71683992,1.972370357,3.019031829,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37484886893041,2.05544589379643,2.76191846429162,1.90720375813754,3.06881100877685
"752",2,1986,21986,2.338615968,2.044532797,2.723780576,1.972611445,3.051593002,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37754453288526,2.06069120223784,2.7670133521187,1.92462906703606,3.05426287679502
"753",2,1987,21987,2.337362843,2.049971606,2.71330409,1.97153505,3.013113884,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37969357436372,2.05533594960024,2.77258949452115,1.92558316389829,3.07166624702517
